ID,Prob1
411, 0.34
412, 0.92
413, 0.66
414, 0.92
415, 0.01
416, 0.14
417, 0.59
418, 0.13
419, 0.14
420, 0.07
421, 0.98
422, 0.81
423, 0.61
424, 0.09
425, 0.96
426, 0.81
427, 0.71
428, 0.28
429, 0.07
430, 0.97
431, 0.07
432, 0.17
433, 0.66
434, 0.62
435, 0.42
436, 0.83
437, 0.83
438, 0.94
439, 0.04
440, 0.12
441, 0.35
442, 0.30
443, 0.47
444, 1.00
445, 0.73
446, 0.81
447, 0.77
448, 0.76
449, 0.62
450, 0.55
451, 0.38
452, 0.37
453, 0.66
454, 0.46
455, 0.14
456, 0.23
457, 0.22
458, 0.59
459, 0.25
460, 0.70
461, 0.72
462, 0.27
463, 0.66
464, 0.94
465, 0.97
466, 0.06
467, 0.04
468, 0.57
469, 0.34
470, 0.94
471, 0.51
472, 0.56
473, 0.45
474, 0.96
475, 0.54
476, 0.10
477, 0.80
478, 0.31
479, 0.23
480, 0.04
481, 0.62
482, 0.78
483, 0.75
484, 0.90
485, 0.78
486, 0.07
487, 0.49
488, 0.28
489, 0.23
490, 0.63
491, 0.69
492, 0.63
493, 0.10
494, 0.95
495, 0.62
496, 0.12
497, 0.29
498, 0.53
499, 0.81
500, 0.39
501, 0.34
502, 0.92
503, 0.05
504, 0.13
505, 0.83
506, 0.34
507, 0.19
508, 0.45
509, 0.78
510, 0.84
511, 0.34
512, 1.00
513, 0.51
514, 0.42
515, 0.95
516, 0.65
517, 0.71
518, 0.10
519, 0.40
520, 0.52
521, 0.76
522, 0.45
523, 0.41
524, 0.09
525, 0.60
526, 0.60
527, 0.29
528, 0.06
529, 0.34
530, 0.25
531, 0.27
532, 0.56
533, 0.05
534, 0.41
535, 0.42
536, 0.86
537, 0.52
538, 0.10
539, 0.25
540, 0.47
541, 0.72
542, 0.12
543, 0.38
544, 0.13
545, 0.55
546, 0.29
547, 0.29
548, 0.71
549, 0.78
550, 0.01
551, 0.02
552, 0.25
553, 0.83
554, 0.77
555, 0.67
556, 0.16
557, 0.02
558, 0.84
559, 0.30
560, 0.81
561, 0.97
562, 0.50
563, 0.13
564, 0.04
565, 0.47
566, 0.06
567, 0.70
568, 0.37
569, 0.02
570, 0.88
571, 0.69
572, 0.81
573, 0.62
574, 0.15
575, 0.21
576, 0.09
577, 0.97
578, 0.10
579, 0.70
580, 0.02
581, 0.37
582, 0.13
583, 0.70
584, 0.05
585, 0.43
586, 0.24
587, 0.15
588, 0.12
589, 0.48
590, 0.05
591, 0.72
592, 0.51
593, 0.46
594, 0.15
595, 0.44
596, 0.96
597, 0.88
598, 0.44
599, 0.18
600, 0.06
601, 0.73
602, 0.62
603, 0.93
604, 0.92
605, 0.09
606, 0.56
607, 0.72
608, 0.44
609, 0.14
610, 0.15
611, 0.30
612, 0.88
613, 0.50
614, 1.00
615, 0.39
616, 0.69
617, 0.40
618, 0.75
619, 0.54
620, 0.67
621, 0.45
622, 0.76
623, 0.03
624, 0.58
625, 0.36
626, 0.21
627, 0.10
628, 0.72
629, 0.69
630, 0.91
631, 1.00
632, 0.55
633, 0.12
634, 0.02
635, 1.00
636, 0.03
637, 0.77
638, 0.09
639, 0.13
640, 0.47
641, 0.58
642, 0.84
643, 0.37
644, 0.80
645, 0.69
646, 0.90
647, 0.61
648, 0.81
649, 0.59
650, 0.95
651, 0.17
652, 0.81
653, 0.42
654, 0.08
655, 0.41
656, 0.22
657, 0.44
658, 0.78
659, 0.92
660, 0.44
661, 0.67
662, 0.08
663, 0.63
664, 0.57
665, 0.54
666, 0.27
667, 0.43
668, 0.30
669, 0.45
670, 0.21
671, 0.29
672, 0.54
673, 0.43
674, 0.05
675, 0.92
676, 0.99
677, 0.92
678, 0.14
679, 0.43
680, 0.05
681, 0.19
682, 0.81
683, 0.36
684, 0.14
685, 0.69
686, 0.29
687, 0.82
688, 0.89
689, 0.37
690, 0.01
691, 0.98
692, 0.01
693, 0.41
694, 0.94
695, 0.51
696, 0.64
697, 0.87
698, 0.61
699, 0.36
700, 0.69
701, 0.51
702, 0.36
703, 0.70
704, 0.70
705, 1.00
706, 0.80
707, 1.00
708, 0.46
709, 0.15
710, 0.03
711, 0.57
712, 0.19
713, 0.94
714, 0.93
715, 0.61
716, 0.11
717, 0.61
718, 0.33
719, 0.41
720, 0.45
721, 0.38
722, 0.88
723, 0.75
724, 0.70
725, 0.65
726, 0.32
727, 0.48
728, 0.75
729, 0.62
730, 0.71
731, 0.18
732, 0.45
733, 0.31
734, 0.44
735, 0.62
736, 0.22
737, 0.78
738, 0.49
739, 0.16
740, 0.77
741, 0.81
742, 0.65
743, 0.76
744, 0.86
745, 0.26
746, 0.18
747, 0.61
748, 0.94
749, 0.43
750, 0.32
751, 0.60
752, 0.73
753, 0.32
754, 0.24
755, 0.07
756, 0.40
757, 0.34
758, 0.50
759, 0.11
760, 0.58
761, 0.07
762, 0.89
763, 0.28
764, 0.14
765, 0.13
766, 0.95
767, 0.79
768, 0.67
769, 0.37
770, 0.39
771, 0.43
772, 0.14
773, 0.22
774, 0.02
775, 0.54
776, 0.70
777, 0.58
778, 0.07
779, 0.03
780, 0.87
781, 0.37
782, 0.90
783, 0.86
784, 0.21
785, 0.34
786, 0.23
787, 0.66
788, 0.76
789, 0.78
790, 0.76
791, 0.94
792, 0.58
793, 0.47
794, 0.22
795, 0.75
796, 0.48
797, 0.95
798, 0.42
799, 0.39
800, 0.67
801, 0.25
802, 0.42
803, 0.78
804, 0.42
805, 0.82
806, 0.91
807, 0.33
808, 0.82
809, 0.34
810, 0.75
811, 0.18
812, 0.84
813, 0.58
814, 0.51
815, 0.99
816, 0.82
817, 0.41
818, 0.33
819, 0.75
820, 0.10
821, 0.56
822, 0.15
823, 0.08
824, 0.32
825, 0.68
826, 0.81
827, 0.24
828, 0.11
829, 0.63
830, 0.68
831, 0.59
832, 0.63
833, 0.77
834, 0.52
835, 0.90
836, 0.87
837, 0.74
838, 0.40
839, 0.30
840, 0.40
841, 0.16
842, 0.98
843, 0.22
844, 0.02
845, 0.12
846, 0.24
847, 0.13
848, 0.55
849, 0.73
850, 0.69
851, 0.40
852, 0.97
853, 0.90
854, 0.64
855, 0.06
856, 0.71
857, 0.90
858, 0.87
859, 0.10
860, 0.07
861, 0.85
862, 0.19
863, 0.01
864, 0.86
865, 0.62
866, 0.81
867, 0.68
868, 0.56
869, 0.32
870, 0.86
871, 0.16
872, 0.48
873, 0.17
874, 0.89
875, 0.90
876, 0.38
877, 0.93
878, 0.75
879, 0.76
880, 0.35
881, 0.82
882, 0.40
883, 0.32
884, 0.71
885, 0.06
886, 0.36
887, 0.56
888, 0.79
889, 0.96
890, 0.67
891, 0.72
892, 0.04
893, 0.44
894, 0.30
895, 0.43
896, 0.45
897, 0.18
898, 0.09
899, 0.65
900, 0.35
901, 0.26
902, 0.75
903, 0.41
904, 0.55
905, 0.50
906, 0.79
907, 0.23
908, 0.90
909, 0.94
910, 0.02
911, 0.81
912, 0.57
913, 0.87
914, 0.14
915, 0.52
916, 0.25
917, 0.73
918, 0.10
919, 0.28
920, 0.69
921, 0.53
922, 0.05
923, 0.80
924, 0.43
925, 0.67
926, 0.95
927, 0.30
928, 0.01
929, 0.44
930, 0.52
931, 0.97
932, 0.83
933, 0.42
934, 0.15
935, 0.11
936, 0.42
937, 0.63
938, 0.76
939, 0.96
940, 0.06
941, 0.41
942, 0.59
943, 0.70
944, 0.51
945, 0.92
946, 0.38
947, 0.29
948, 0.20
949, 0.29
950, 0.19
951, 0.76
952, 0.67
953, 0.31
954, 0.38
955, 0.69
956, 0.88
957, 0.24
958, 0.93
959, 0.10
960, 0.52
961, 0.35
962, 0.09
963, 0.46
964, 0.87
965, 0.95
966, 0.69
967, 0.72
968, 0.96
969, 0.61
970, 0.07
971, 0.35
972, 0.44
973, 0.51
974, 0.29
975, 0.30
976, 0.08
977, 0.09
978, 0.97
979, 0.41
980, 0.48
981, 0.93
982, 0.65
983, 0.32
984, 0.95
985, 0.28
986, 0.63
987, 0.07
988, 0.50
989, 0.67
990, 0.32
991, 0.19
992, 0.63
993, 0.51
994, 0.35
995, 0.22
996, 0.00
997, 0.87
998, 0.86
999, 0.30
1000, 0.26
1001, 0.84
1002, 0.38
1003, 0.41
1004, 0.42
1005, 0.87
1006, 0.65
1007, 0.04
1008, 0.36
1009, 0.94
1010, 0.23
1011, 0.52
1012, 0.36
1013, 0.46
1014, 0.42
1015, 0.08
1016, 0.59
1017, 0.89
1018, 0.19
1019, 0.96
1020, 0.37
1021, 0.47
1022, 0.81
1023, 0.53
1024, 0.21
1025, 0.53
1026, 0.69
1027, 0.76
1028, 0.62
1029, 0.11
1030, 0.27
1031, 0.29
1032, 0.52
1033, 0.81
1034, 0.06
1035, 0.87
1036, 0.13
1037, 0.42
1038, 0.79
1039, 0.90
1040, 0.45
1041, 0.67
1042, 0.87
1043, 0.55
1044, 0.38
1045, 0.06
1046, 0.21
1047, 0.75
1048, 0.34
1049, 0.33
1050, 0.54
1051, 0.81
1052, 0.05
1053, 0.48
1054, 0.70
1055, 0.64
1056, 0.67
1057, 0.53
1058, 0.24
1059, 0.26
1060, 0.41
1061, 0.51
1062, 0.85
1063, 0.95
1064, 0.72
1065, 0.80
1066, 0.45
1067, 0.03
1068, 0.32
1069, 0.67
1070, 0.51
1071, 0.00
1072, 0.41
1073, 0.18
1074, 0.03
1075, 0.21
1076, 0.95
1077, 0.48
1078, 0.57
1079, 0.84
1080, 0.16
1081, 0.76
1082, 0.55
1083, 0.73
1084, 0.75
1085, 0.19
1086, 0.06
1087, 0.16
1088, 0.56
1089, 0.79
1090, 0.49
1091, 0.36
1092, 0.16
1093, 0.70
1094, 0.27
1095, 0.98
1096, 0.13
1097, 0.99
1098, 0.53
1099, 0.49
1100, 0.45
1101, 0.56
1102, 0.52
1103, 0.25
1104, 0.75
1105, 0.49
1106, 0.37
1107, 0.56
1108, 0.03
1109, 0.96
1110, 0.01
1111, 0.26
1112, 0.09
1113, 0.90
1114, 0.20
1115, 0.63
1116, 0.92
1117, 0.63
1118, 0.16
1119, 0.83
1120, 0.01
1121, 0.02
1122, 0.09
1123, 0.60
1124, 0.70
1125, 0.33
1126, 0.68
1127, 0.06
1128, 0.37
1129, 0.57
1130, 0.31
1131, 0.98
1132, 0.21
1133, 0.33
1134, 0.19
1135, 0.29
1136, 0.42
1137, 0.27
1138, 0.80
1139, 0.35
1140, 0.14
1141, 0.89
1142, 0.24
1143, 0.14
1144, 0.60
1145, 0.65
1146, 0.95
1147, 0.11
1148, 0.32
1149, 0.35
1150, 0.02
1151, 0.49
1152, 0.24
1153, 0.08
1154, 0.21
1155, 0.08
1156, 0.04
1157, 0.39
1158, 0.64
1159, 0.34
1160, 0.49
1161, 0.82
1162, 0.73
1163, 0.46
1164, 0.36
1165, 0.80
1166, 0.85
1167, 0.80
1168, 0.14
1169, 0.03
1170, 0.44
1171, 0.10
1172, 0.63
1173, 0.30
1174, 0.16
1175, 0.98
1176, 0.57
1177, 0.47
1178, 0.32
1179, 0.75
1180, 0.68
1181, 0.64
1182, 0.48
1183, 0.13
1184, 0.22
1185, 0.75
1186, 0.22
1187, 0.95
1188, 0.72
1189, 0.61
1190, 0.54
1191, 0.17
1192, 0.36
1193, 0.49
1194, 0.85
1195, 0.05
1196, 0.21
1197, 0.84
1198, 0.08
1199, 0.49
1200, 0.73
1201, 0.87
1202, 0.72
1203, 0.57
1204, 0.57
1205, 0.74
1206, 0.23
1207, 0.99
1208, 0.15
1209, 0.87
1210, 0.81
1211, 0.84
1212, 0.86
1213, 0.89
1214, 0.53
1215, 0.32
1216, 0.95
1217, 0.81
1218, 0.91
1219, 0.92
1220, 0.74
1221, 0.37
1222, 0.34
1223, 0.54
1224, 0.64
1225, 0.76
1226, 0.97
1227, 0.38
1228, 0.24
1229, 0.13
1230, 0.68
1231, 0.19
1232, 0.36
1233, 0.37
1234, 0.64
1235, 0.85
1236, 0.82
1237, 0.91
1238, 0.72
1239, 0.75
1240, 0.26
1241, 0.74
1242, 0.85
1243, 0.86
1244, 0.77
1245, 0.46
1246, 0.26
1247, 0.24
1248, 0.99
1249, 0.43
1250, 0.03
1251, 0.73
1252, 0.77
1253, 0.74
1254, 0.80
1255, 0.59
1256, 0.52
1257, 0.03
1258, 0.37
1259, 0.51
1260, 0.24
1261, 0.11
1262, 0.73
1263, 0.07
1264, 0.44
1265, 0.97
1266, 0.33
1267, 0.37
1268, 0.27
1269, 0.16
1270, 0.12
1271, 0.10
1272, 0.36
1273, 0.30
1274, 0.21
1275, 0.27
1276, 0.01
1277, 0.89
1278, 0.08
1279, 0.58
1280, 0.70
1281, 0.80
1282, 0.49
1283, 0.42
1284, 0.78
1285, 0.42
1286, 0.03
1287, 0.17
1288, 0.23
1289, 0.31
1290, 0.24
1291, 0.64
1292, 0.91
1293, 0.32
1294, 0.14
1295, 0.13
1296, 0.87
1297, 0.07
1298, 0.08
1299, 0.68
1300, 0.76
1301, 0.17
1302, 0.31
1303, 0.61
1304, 0.89
1305, 0.77
1306, 0.72
1307, 0.33
1308, 0.87
1309, 0.00
1310, 0.91
1311, 0.13
1312, 0.10
1313, 0.87
1314, 0.42
1315, 0.98
1316, 1.00
1317, 0.53
1318, 0.34
1319, 0.78
1320, 0.66
1321, 0.56
1322, 0.57
1323, 0.62
1324, 0.80
1325, 0.42
1326, 0.45
1327, 0.94
1328, 0.46
1329, 0.31
1330, 0.63
1331, 0.20
1332, 0.10
1333, 0.30
1334, 0.90
1335, 0.37
1336, 0.75
1337, 0.82
1338, 0.47
1339, 0.84
1340, 0.20
1341, 0.01
1342, 0.20
1343, 0.79
1344, 0.10
1345, 0.07
1346, 0.10
1347, 0.21
1348, 0.94
1349, 0.87
1350, 0.87
1351, 0.26
1352, 0.34
1353, 0.11
1354, 0.50
1355, 0.64
1356, 0.75
1357, 0.08
1358, 0.32
1359, 0.77
1360, 0.64
1361, 0.10
1362, 0.77
1363, 0.76
1364, 0.80
1365, 0.25
1366, 0.19
1367, 0.69
1368, 0.51
1369, 0.75
1370, 0.89
1371, 0.66
1372, 0.07
1373, 0.13
1374, 0.53
1375, 0.14
1376, 0.51
1377, 0.39
1378, 0.66
1379, 0.11
1380, 0.64
1381, 0.36
1382, 0.58
1383, 0.09
1384, 0.07
1385, 0.38
1386, 0.59
1387, 0.67
1388, 0.79
1389, 0.42
1390, 0.81
1391, 0.13
1392, 0.45
1393, 0.91
1394, 0.16
1395, 0.19
1396, 0.78
1397, 0.01
1398, 0.05
1399, 0.49
1400, 0.98
1401, 0.22
1402, 0.43
1403, 0.38
1404, 0.79
1405, 0.14
1406, 0.79
1407, 0.08
1408, 0.89
1409, 0.76
1410, 0.79
1411, 0.92
1412, 0.45
1413, 0.44
1414, 0.06
1415, 0.83
1416, 0.59
1417, 0.79
1418, 0.08
1419, 0.46
1420, 0.52
1421, 0.69
1422, 0.81
1423, 0.42
1424, 0.68
1425, 0.68
1426, 0.35
1427, 0.10
1428, 0.50
1429, 0.57
1430, 0.24
1431, 0.59
1432, 0.88
1433, 0.80
1434, 0.93
1435, 0.69
1436, 0.99
1437, 0.88
1438, 0.78
1439, 0.62
1440, 0.14
1441, 0.90
1442, 0.80
1443, 0.45
1444, 0.04
1445, 0.70
1446, 0.26
1447, 0.61
1448, 0.72
1449, 0.95
1450, 0.23
1451, 0.56
1452, 0.73
1453, 0.45
1454, 0.60
1455, 0.61
1456, 0.77
1457, 0.26
1458, 0.67
1459, 0.65
1460, 0.47
1461, 0.40
1462, 0.29
1463, 0.46
1464, 0.50
1465, 0.34
1466, 0.11
1467, 0.96
1468, 0.15
1469, 0.60
1470, 0.63
1471, 0.67
1472, 0.47
1473, 0.99
1474, 0.67
1475, 0.28
1476, 0.15
1477, 0.41
1478, 0.90
1479, 0.19
1480, 0.87
1481, 0.53
1482, 0.12
1483, 0.75
1484, 0.94
1485, 0.21
1486, 0.23
1487, 0.38
1488, 0.64
1489, 0.52
1490, 0.05
1491, 0.31
1492, 0.81
1493, 0.71
1494, 0.83
1495, 0.29
1496, 0.61
1497, 0.54
1498, 0.38
1499, 0.85
1500, 0.09
1501, 0.60
1502, 0.90
1503, 0.17
1504, 0.81
1505, 0.14
1506, 0.79
1507, 0.52
1508, 0.92
1509, 0.39
1510, 0.21
1511, 0.31
1512, 0.37
1513, 0.17
1514, 0.40
1515, 0.13
1516, 0.13
1517, 0.29
1518, 0.03
1519, 0.42
1520, 0.69
1521, 0.87
1522, 0.11
1523, 0.38
1524, 0.06
1525, 0.45
1526, 0.03
1527, 0.79
1528, 0.71
1529, 0.62
1530, 0.27
1531, 0.96
1532, 0.75
1533, 0.46
1534, 0.48
1535, 0.00
1536, 0.65
1537, 0.96
1538, 0.41
1539, 0.09
1540, 0.95
1541, 0.82
1542, 1.00
1543, 0.72
1544, 0.03
1545, 0.92
1546, 0.52
1547, 0.84
1548, 0.94
1549, 0.25
1550, 0.94
1551, 0.61
1552, 0.85
1553, 0.77
1554, 0.12
1555, 0.89
1556, 0.95
1557, 0.25
1558, 0.71
1559, 0.82
1560, 0.86
1561, 0.18
1562, 0.77
1563, 0.58
1564, 0.09
1565, 0.76
1566, 0.42
1567, 0.05
1568, 0.37
1569, 0.95
1570, 0.68
1571, 0.98
1572, 0.79
1573, 0.41
1574, 0.73
1575, 0.89
1576, 0.29
1577, 0.28
1578, 0.49
1579, 0.90
1580, 0.22
1581, 0.27
1582, 0.52
1583, 0.54
1584, 0.29
1585, 0.86
1586, 0.61
1587, 0.86
1588, 0.26
1589, 0.27
1590, 0.98
1591, 1.00
1592, 0.30
1593, 0.45
1594, 0.82
1595, 0.53
1596, 0.53
1597, 0.74
1598, 0.92
1599, 0.82
1600, 0.75
1601, 0.65
1602, 0.93
1603, 0.71
1604, 0.93
1605, 0.63
1606, 0.37
1607, 0.85
1608, 0.01
1609, 0.05
1610, 0.59
1611, 0.99
1612, 0.24
1613, 0.37
1614, 0.72
1615, 0.05
1616, 0.16
1617, 0.39
1618, 0.55
1619, 0.71
1620, 0.09
1621, 0.06
1622, 0.29
1623, 0.20
1624, 0.80
1625, 0.58
1626, 0.46
1627, 0.50
1628, 0.97
1629, 0.25
1630, 0.82
1631, 0.29
1632, 0.04
1633, 0.09
1634, 0.04
1635, 0.60
1636, 0.25
1637, 0.76
1638, 0.84
1639, 0.27
1640, 0.65
1641, 0.01
1642, 0.19
1643, 0.19
1644, 0.90
1645, 0.04
1646, 0.49
1647, 0.46
1648, 0.33
1649, 0.58
1650, 0.45
1651, 0.03
1652, 0.85
1653, 0.04
1654, 0.32
1655, 0.40
1656, 0.14
1657, 0.22
1658, 0.71
1659, 1.00
1660, 0.82
1661, 0.09
1662, 0.30
1663, 0.80
1664, 0.73
1665, 0.22
1666, 0.25
1667, 0.46
1668, 0.05
1669, 0.02
1670, 0.51
1671, 0.90
1672, 0.30
1673, 1.00
1674, 0.80
1675, 0.60
1676, 0.84
1677, 0.52
1678, 0.80
1679, 0.16
1680, 0.39
1681, 0.76
1682, 0.17
1683, 0.44
1684, 0.67
1685, 0.92
1686, 0.46
1687, 0.84
1688, 0.87
1689, 0.27
1690, 0.78
1691, 0.67
1692, 0.74
1693, 0.95
1694, 0.66
1695, 0.79
1696, 0.89
1697, 0.82
1698, 0.44
1699, 0.49
1700, 0.47
1701, 0.58
1702, 0.70
1703, 0.74
1704, 0.52
1705, 0.75
1706, 0.20
1707, 0.84
1708, 0.36
1709, 0.75
1710, 0.81
1711, 0.85
1712, 0.95
1713, 0.98
1714, 0.60
1715, 0.28
1716, 0.64
1717, 0.85
1718, 0.22
1719, 0.73
1720, 0.67
1721, 0.82
1722, 0.60
1723, 0.02
1724, 0.40
1725, 0.78
1726, 0.10
1727, 0.89
1728, 0.09
1729, 0.08
1730, 0.40
1731, 0.18
1732, 0.11
1733, 0.65
1734, 0.86
1735, 0.49
1736, 0.90
1737, 0.93
1738, 0.53
1739, 0.55
1740, 0.03
1741, 1.00
1742, 0.99
1743, 0.69
1744, 0.22
1745, 0.61
1746, 0.05
1747, 0.61
1748, 0.93
1749, 0.73
1750, 0.63
1751, 0.45
1752, 0.29
1753, 0.50
1754, 0.19
1755, 0.33
1756, 0.82
1757, 0.44
1758, 0.33
1759, 0.64
1760, 0.83
1761, 0.14
1762, 0.54
1763, 0.56
1764, 0.91
1765, 0.70
1766, 0.74
1767, 0.19
1768, 0.13
1769, 0.67
1770, 0.90
1771, 0.32
1772, 0.30
1773, 0.69
1774, 0.42
1775, 0.68
1776, 0.88
1777, 0.11
1778, 0.46
1779, 0.63
1780, 0.36
1781, 0.10
1782, 0.06
1783, 0.03
1784, 0.13
1785, 0.32
1786, 0.91
1787, 0.24
1788, 0.05
1789, 0.10
1790, 0.55
1791, 0.38
1792, 0.45
1793, 0.02
1794, 0.50
1795, 0.23
1796, 0.76
1797, 0.83
1798, 0.84
1799, 0.19
1800, 0.32
1801, 0.75
1802, 0.53
1803, 0.76
1804, 0.81
1805, 0.23
1806, 0.06
1807, 0.11
1808, 0.28
1809, 0.29
1810, 0.63
1811, 0.45
1812, 0.52
1813, 0.39
1814, 0.07
1815, 0.49
1816, 0.88
1817, 0.25
1818, 0.59
1819, 0.69
1820, 0.32
1821, 0.96
1822, 0.42
1823, 0.11
1824, 0.91
1825, 0.38
1826, 0.21
1827, 0.11
1828, 0.49
1829, 0.43
1830, 0.03
1831, 0.63
1832, 0.25
1833, 0.32
1834, 0.58
1835, 0.20
1836, 0.48
1837, 0.41
1838, 0.53
1839, 0.22
1840, 0.04
1841, 0.66
1842, 0.34
1843, 0.96
1844, 0.22
1845, 0.60
1846, 0.47
1847, 0.35
1848, 0.41
1849, 0.16
1850, 0.31
1851, 0.66
1852, 0.93
1853, 0.47
1854, 0.67
1855, 0.83
1856, 0.58
1857, 0.79
1858, 0.26
1859, 0.34
1860, 0.02
1861, 0.71
1862, 0.86
1863, 0.80
1864, 0.65
1865, 0.36
1866, 0.84
1867, 0.36
1868, 0.99
1869, 0.52
1870, 0.10
1871, 0.43
1872, 0.45
